TIMESTAMP,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
80420,7.3431,1.90232,2.37118,2.07326,1.80464,-0.862027,1.15507,-3.9243,
81601,7.3431,1.90232,2.37118,2.07326,1.80952,-0.886447,1.15018,-3.91453,
82778,7.3431,1.88278,2.37118,2.07326,1.80464,-0.891331,1.15507,-3.91941,
83956,7.3431,1.88767,2.37118,2.07326,1.80464,-0.896215,1.15018,-3.91941,
85133,7.33822,1.88767,2.37118,2.07326,1.80464,-0.920635,1.15018,-3.92918,
86319,7.33822,1.88767,2.3663,2.07326,1.80952,-0.935287,1.15018,-3.91941,
87498,7.33822,1.87302,2.3663,2.07326,1.80952,-0.930403,1.1453,-3.91941,
88678,7.33822,1.8779,2.3663,2.07326,1.80952,-0.945055,1.15018,-3.91941,
89860,7.33822,1.8779,2.37118,2.07326,1.80952,-0.959707,1.15018,-3.9243,
91040,7.33822,1.87302,2.3663,2.07326,1.80952,-0.964591,1.1453,-3.9243,
92216,7.33822,1.87302,2.37118,2.07326,1.80952,-0.979243,1.1453,-3.9243,
93393,7.33822,1.87302,2.3663,2.07326,1.80952,-0.989011,1.1453,-3.9243,
94570,7.33333,1.8779,2.3663,2.07326,1.80952,-0.989011,1.1453,-3.93407,
95750,7.33333,1.87302,2.3663,2.07814,1.80952,-1.00855,1.1453,-4.08547,
96932,7.33333,1.8779,2.3663,2.07814,1.80952,-1.0232,1.1453,-3.9243,
98111,7.33333,1.8779,2.37118,2.07814,1.80952,-1.0232,1.15018,-3.91941,
99303,7.33333,1.88767,2.37118,2.07814,1.80952,-1.03297,1.15507,-3.9243,
100479,7.33333,1.88767,2.37118,2.07814,1.80952,-1.04762,1.15507,-3.91941,
101655,7.33333,1.88278,2.37118,2.07814,1.81441,-1.04274,1.15507,-3.91941,
102835,7.33333,1.89255,2.37118,2.08303,1.81441,-1.06227,1.15507,-3.9243,
104016,7.33333,1.89255,2.37118,2.07814,1.81441,-1.08181,1.15507,-3.91941,
105195,7.33333,1.89744,2.37118,2.07814,1.81441,-1.09646,1.15507,-3.91941,
