STEP1: 11V, no container, 7 container høj
TIME,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
80096,8.173382,2.073260,2.708181,6.537241,-1.646136,0.119658,10.883344,1.425410,
81252,8.173382,2.073260,2.708181,6.537241,-1.651020,0.124542,10.892956,1.415799,
82410,8.173382,2.073260,2.708181,6.537241,-1.680324,0.124542,10.844897,1.415799,
83568,8.173382,2.073260,2.708181,6.537241,-1.714512,0.124542,10.854509,1.425410,
84724,8.173382,2.073260,2.708181,6.537241,-1.778004,0.124542,10.864121,1.415799,
85876,8.173382,2.073260,2.708181,6.542125,-1.782888,0.119658,10.921791,1.425410,
87032,8.173382,2.078144,2.708181,6.537241,-1.773120,0.124542,10.873733,1.415799,
88229,8.178266,2.073260,2.708181,6.537241,-1.763352,0.119658,10.902568,1.425410,
89384,8.178266,2.078144,2.708181,6.542125,-1.778004,0.124542,10.892956,1.425410,
90538,8.178266,2.078144,2.708181,6.542125,-1.817076,0.119658,10.873733,1.425410,
91700,8.178266,2.078144,2.713065,6.542125,-1.856148,0.124542,11.248590,1.444634,
92856,8.178266,2.078144,2.713065,6.542125,-1.919640,0.124542,10.825674,1.406187,
94011,8.178266,2.078144,2.713065,6.542125,-1.953828,0.124542,10.864121,1.117835,
95176,8.178266,2.078144,2.713065,6.542125,-1.939176,0.119658,10.873733,1.415799,
96334,8.178266,2.083028,2.713065,6.542125,-1.909872,0.124542,10.873733,1.117835,
97490,8.178266,2.083028,2.713065,6.542125,-1.919640,0.124542,10.902568,1.425410,
98643,8.178266,2.083028,2.713065,6.542125,-1.934292,0.124542,10.892956,1.108223,
99800,8.183150,2.083028,2.713065,6.547009,-1.983132,0.124542,10.873733,1.425410,
100955,8.183150,2.083028,2.713065,6.547009,-2.022204,0.119658,10.883344,1.425410,
102112,8.183150,2.083028,2.713065,6.547009,-2.051508,0.124542,10.902568,1.425410,
103273,8.183150,2.083028,2.717949,6.547009,-2.022204,0.119658,10.844897,1.415799,
104429,8.183150,2.083028,2.713065,6.547009,-2.031972,0.119658,11.190919,1.127447,
105587,8.183150,2.083028,2.717949,6.547009,-2.031972,0.119658,10.864121,1.425410,
106742,8.183150,2.083028,2.717949,6.547009,-2.080812,0.124542,10.883344,1.108223,
107899,8.183150,2.087912,2.717949,6.547009,-2.139420,0.124542,10.902568,1.425410,
109054,8.183150,2.083028,2.717949,6.547009,-2.178492,0.119658,10.912179,1.435022,
110208,8.183150,2.087912,2.717949,6.547009,-2.158956,0.124542,10.902568,1.435022,
111370,8.183150,2.087912,2.717949,6.551893,-2.144304,0.119658,10.854509,1.415799,
112523,8.183150,2.087912,2.717949,6.551893,-2.144304,0.119658,10.883344,1.425410,
113676,8.183150,2.087912,2.717949,6.551893,-2.173608,0.124542,10.844897,1.415799,
114833,8.183150,2.087912,2.717949,6.551893,-2.227332,0.124542,11.229366,1.435022,
116023,8.183150,2.092796,2.717949,6.551893,-2.300592,0.124542,10.902568,1.425410,
117178,8.183150,2.087912,2.717949,6.551893,-2.310360,0.119658,10.902568,1.435022,
118331,8.183150,2.092796,2.722833,6.556777,-2.261520,0.119658,10.883344,1.425410,
119492,8.183150,2.092796,2.722833,6.551893,-2.256636,0.119658,10.902568,1.425410,
120646,8.183150,2.092796,2.722833,6.556777,-2.251752,0.124542,10.883344,1.425410,
121800,8.183150,2.092796,2.722833,6.556777,-2.295708,0.124542,10.892956,1.425410,
122958,8.178266,2.092796,2.722833,6.556777,-2.339664,0.119658,11.219755,1.444634,
124118,8.173382,2.092796,2.722833,6.556777,-2.359200,0.119658,10.883344,1.425410,
125275,8.173382,2.092796,2.722833,6.556777,-2.364084,0.124542,10.864121,1.425410,
126430,8.173382,2.092796,2.722833,6.556777,-2.364084,0.119658,10.873733,1.415799,
127587,8.173382,2.092796,2.727717,6.556777,-2.373852,0.119658,10.902568,1.425410,
128742,8.173382,2.092796,2.727717,6.561661,-2.408040,0.124542,10.892956,1.425410,
129897,8.173382,2.097680,2.727717,6.561661,-2.471532,0.119658,10.902568,1.117835,
131053,8.173382,2.092796,2.722833,6.561661,-2.471532,0.119658,10.921791,1.444634,
132232,8.168498,2.092796,2.727717,6.561661,-2.447112,0.119658,10.902568,1.425410,
133388,8.168498,2.097680,2.727717,6.561661,-2.432460,0.119658,10.892956,1.425410,
134543,8.168498,2.097680,2.727717,6.561661,-2.495952,0.119658,10.902568,1.425410,
135698,8.173382,2.097680,2.727717,6.561661,-2.544792,0.124542,10.892956,1.425410,
136854,8.173382,2.097680,2.727717,6.561661,-2.559444,0.119658,10.892956,1.435022,
138007,8.168498,2.097680,2.732601,6.561661,-2.535024,0.119658,10.912179,1.435022,
139162,8.168498,2.097680,2.732601,6.566545,-2.535024,0.119658,10.921791,1.425410,
140317,8.168498,2.102564,2.732601,6.566545,-2.549676,0.124542,10.902568,1.435022,
141473,8.168498,2.097680,2.732601,6.566545,-2.588748,0.119658,10.941015,1.435022,
142630,8.168498,2.097680,2.732601,6.566545,-2.632705,0.119658,10.921791,1.435022,
143786,8.168498,2.102564,2.732601,6.566545,-2.603400,0.124542,10.902568,1.435022,
144942,8.168498,2.102564,2.732601,6.566545,-2.603400,0.119658,10.902568,1.425410,
146100,8.168498,2.102564,2.732601,6.566545,-2.598516,0.119658,10.912179,1.435022,
147257,8.168498,2.102564,2.732601,6.571429,-2.681545,0.119658,10.892956,1.425410,
148413,8.168498,2.102564,2.732601,6.571429,-2.725501,0.119658,10.941015,1.435022,
149567,8.168498,2.102564,2.737485,6.571429,-2.715733,0.119658,10.902568,1.127447,
150731,8.168498,2.102564,2.737485,6.571429,-2.696197,0.119658,10.931403,1.435022,
151888,8.168498,2.102564,2.737485,6.571429,-2.701081,0.119658,10.912179,1.435022,
153044,8.168498,2.102564,2.737485,6.571429,-2.725501,0.119658,10.864121,1.425410,
154201,8.168498,2.107448,2.737485,6.571429,-2.759689,0.119658,10.854509,1.415799,
155359,8.168498,2.107448,2.737485,6.576313,-2.754805,0.119658,10.902568,1.117835,
156515,8.168498,2.107448,2.737485,6.576313,-2.740153,0.119658,10.931403,1.435022,
157667,8.168498,2.107448,2.742369,6.576313,-2.754805,0.124542,11.238978,1.444634,
158822,8.168498,2.107448,2.742369,6.576313,-2.788993,0.119658,10.931403,1.425410,
159978,8.168498,2.107448,2.742369,6.576313,-2.818297,0.119658,10.912179,1.117835,
161133,8.168498,2.107448,2.742369,6.576313,-2.823181,0.119658,10.941015,1.435022,
162287,8.163614,2.107448,2.742369,6.576313,-2.813413,0.119658,10.912179,1.425410,
163441,8.168498,2.112332,2.742369,6.581197,-2.818297,0.119658,10.864121,1.425410,
164596,8.168498,2.107448,2.742369,6.581197,-2.842717,0.124542,10.892956,1.117835,
165758,8.168498,2.112332,2.742369,6.581197,-2.862253,0.119658,10.921791,1.425410,
166910,8.163614,2.112332,2.747253,6.581197,-2.867137,0.119658,10.931403,1.117835,
168075,8.163614,2.107448,2.747253,6.581197,-2.881789,0.119658,10.931403,1.435022,
169231,8.163614,2.112332,2.747253,6.581197,-2.920861,0.119658,10.931403,1.425410,
170386,8.163614,2.112332,2.747253,6.581197,-2.906209,0.119658,10.912179,1.435022,
171542,8.163614,2.112332,2.747253,6.581197,-2.935513,0.119658,10.921791,1.435022,
172696,8.163614,2.112332,2.747253,6.581197,-2.925745,0.119658,10.902568,1.473469,
173870,8.163614,2.112332,2.747253,6.581197,-2.969701,0.119658,10.912179,1.117835,
175027,8.163614,2.112332,2.752137,6.586081,-2.999005,0.119658,10.950626,1.435022,
176198,8.163614,2.112332,2.752137,6.586081,-2.984353,0.119658,10.921791,1.435022,
177352,8.163614,2.112332,2.752137,6.586081,-2.955049,0.119658,10.902568,1.435022,
178506,8.163614,2.117216,2.752137,6.586081,-2.959933,0.119658,10.892956,1.425410,
179660,8.163614,2.117216,2.752137,6.586081,-2.974585,0.119658,10.892956,1.425410,
180815,8.163614,2.117216,2.752137,6.586081,-3.042961,0.119658,10.941015,1.425410,
181968,8.163614,2.117216,2.752137,6.586081,-3.072265,0.119658,10.902568,1.425410,
183125,8.163614,2.122100,2.752137,6.590965,-3.086917,0.119658,10.892956,1.425410,
184281,8.163614,2.122100,2.757021,6.590965,-3.106453,0.119658,10.864121,1.435022,
185438,8.163614,2.122100,2.757021,6.590965,-3.121105,0.119658,11.238978,1.127447,
186598,8.163614,2.122100,2.757021,6.590965,-3.125989,0.119658,11.267813,1.454245,
187759,8.163614,2.122100,2.757021,6.590965,-3.116221,0.119658,10.931403,1.444634,
188913,8.163614,2.122100,2.757021,6.590965,-3.145525,0.119658,10.950626,1.444634,
190069,8.163614,2.126984,2.757021,6.590965,-3.125989,0.119658,10.931403,1.435022,
191224,8.163614,2.126984,2.757021,6.590965,-3.140641,0.119658,11.277425,1.444634,
192383,8.163614,2.126984,2.757021,6.595849,-3.145525,0.119658,11.238978,1.435022,
193539,8.163614,2.126984,2.761905,6.595849,-3.140641,0.119658,10.873733,1.425410,
194692,8.163614,2.126984,2.761905,6.595849,-3.174829,0.119658,10.921791,1.425410,
195849,8.163614,2.126984,2.761905,6.595849,-3.213901,0.119658,10.950626,1.435022,
